"gene_from","gene_to","ppi","corr","abs_corr","n_pairwise","p_value","p_adj","method","keep"
"Ace2","Serpine1",0.532,0.223492960659934,0.223492960659934,3072,4.44500029729483e-36,5.98887444635524e-36,"spearman",TRUE
"Ace2","Esr1",0.474,0.256100651144448,0.256100651144448,3072,3.34745065146332e-47,4.78400842091721e-47,"spearman",TRUE
"Adora2a","Bdnf",0.524,0.166882238107544,0.166882238107544,3072,1.26452491252598e-20,1.58853129580665e-20,"spearman",TRUE
"Aldh1l1","Slc17a6",0.433,0.238458325113107,0.238458325113107,3072,5.64084361576892e-41,7.87042607259458e-41,"spearman",TRUE
"Aldh1l1","Aqp4",0.733,0.693945319044403,0.693945319044403,3072,0,0,"spearman",TRUE
"Aldh1l1","Gad1",0.5,0.0937005618904018,0.0937005618904018,3072,1.96362906150266e-07,2.19354765414696e-07,"spearman",TRUE
"Aldh1l1","Pdgfra",0.438,0.0873828299891592,0.0873828299891592,3072,1.2311504214874e-06,1.35811280870329e-06,"spearman",TRUE
"Aqp4","Avpr2",0.46,0.0739850541576736,0.0739850541576736,3072,4.04970974896895e-05,4.3583766505672e-05,"spearman",TRUE
"Aqp4","Bdnf",0.533,0.0483311557240472,0.0483311557240472,3072,0.00737850585833595,0.00770595434317335,"spearman",TRUE
"Aqp4","Oprl1",0.549,-0.0594336962684284,0.0594336962684284,3072,0.000981688707388311,0.00103443616032261,"spearman",TRUE
"Aqp4","Pdgfra",0.423,0.0450876158527008,0.0450876158527008,3072,0.0124451820953863,0.0129500754638617,"spearman",TRUE
"Aqp4","Gad1",0.49,-0.148171058187066,0.148171058187066,3072,1.52241385883578e-16,1.85314514541045e-16,"spearman",TRUE
"Aqp4","Nos1",0.53,0.0372639297542801,0.0372639297542801,3072,0.0388990369244698,0.0398010435777909,"spearman",TRUE
"Ar","Ccnd2",0.428,0.304131498921846,0.304131498921846,3072,9.36358384170635e-67,1.49563126521373e-66,"spearman",TRUE
"Ar","Ndrg1",0.435,-0.142787540368308,0.142787540368308,3072,1.84054290867198e-15,2.21744589338297e-15,"spearman",TRUE
"Ar","Igf1r",0.693,0.384316223511252,0.384316223511252,3072,1.07924060485898e-108,2.21495310183267e-108,"spearman",TRUE
"Ar","Mki67",0.7,0.36870435416616,0.36870435416616,3072,1.52550254127735e-99,3.00839327972572e-99,"spearman",TRUE
"Ar","Grpr",0.444,0.485965921893928,0.485965921893928,3072,7.54123398598961e-182,3.32756949631792e-181,"spearman",TRUE
"Ar","Cyp19a1",0.826,0.548583843232665,0.548583843232665,3072,5.55153092783853e-241,3.76863541832115e-240,"spearman",TRUE
"Ar","Trhr",0.407,0.607592473599362,0.607592473599362,3072,1.74335721480926e-309,1.70945860229908e-308,"spearman",TRUE
"Ar","Fst",0.453,0.494074658238415,0.494074658238415,3072,7.91155419071621e-189,3.7237048390971e-188,"spearman",TRUE
"Ar","Cdkn1a",0.51,0.125064475459469,0.125064475459469,3072,3.49368586352394e-12,4.13849365712735e-12,"spearman",TRUE
"Ar","Onecut2",0.538,0.4029681268193,0.4029681268193,3072,2.67243654788216e-120,6.41748368300954e-120,"spearman",TRUE
"Ar","Klf4",0.568,0.0810789399623431,0.0810789399623431,3072,6.81355558592424e-06,7.42341086984956e-06,"spearman",TRUE
"Ar","Bdnf",0.631,0.534806850275627,0.534806850275627,3072,6.90863673677938e-227,4.20473925531572e-226,"spearman",TRUE
"Ar","Pgr",0.778,0.814141984287158,0.814141984287158,3072,0,0,"spearman",TRUE
"Ar","Etv1",0.834,0.0450732733487108,0.0450732733487108,3072,0.0124731605034361,0.0129500754638617,"spearman",TRUE
"Ar","Esr1",0.956,0.780323784934108,0.780323784934108,3072,0,0,"spearman",TRUE
"Arhgap36","Rnd3",0.446,0.549298425108083,0.549298425108083,3072,9.89187431859779e-242,6.84672869502945e-241,"spearman",TRUE
"Arhgap36","Dgkk",0.528,0.626379576591438,0.626379576591438,3072,0,0,"spearman",TRUE
"Avpr1a","Esr1",0.489,0.33953425405421,0.33953425405421,3072,9.34762462996166e-84,1.65814647958616e-83,"spearman",TRUE
"Avpr1a","Crhr2",0.543,0.337331938511371,0.337331938511371,3072,1.2468152636969e-82,2.17884053507429e-82,"spearman",TRUE
"Avpr1a","Crhr1",0.599,0.309659567333213,0.309659567333213,3072,2.92741387258492e-69,4.7621064378916e-69,"spearman",TRUE
"Avpr1a","Oxtr",0.711,0.262472154996198,0.262472154996198,3072,1.42139453066303e-49,2.07335648481013e-49,"spearman",TRUE
"Avpr1a","Avpr2",0.957,0.273993535258107,0.273993535258107,3072,4.94548233564774e-54,7.46049258326347e-54,"spearman",TRUE
"Avpr2","Tacr1",0.484,0.297232669039248,0.297232669039248,3072,1.05192645602993e-63,1.65772338829717e-63,"spearman",TRUE
"Avpr2","Isl1",0.463,0.264264471654092,0.264264471654092,3072,2.97519138085894e-50,4.35785293544898e-50,"spearman",TRUE
