,Topic-0,Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8
-1971.778086_2745.402956,21.918541876229582,72.99419467396585,980.5597924330912,359.8455468485103,13.489305148827892,290.12314355534176,596.6278579496628,1163.1364113916472,88.26725384733521
-1971.778086_2845.402956,10.514507050618676,138.55741905618763,640.7580262264254,547.9595344603966,99.22850008839909,466.80682060057933,14.345643856941209,639.2083443812757,203.5832520795009
-1971.778086_2945.402956,492.4039635643171,970.362901661427,152.8038298074995,639.8414535225899,65.53363518630472,157.68920918051762,827.037086793186,502.29611626991925,272.9938522800732
-1971.778086_3045.402956,490.17583509736363,69.97206905811723,95.69396634797343,147.08046362754766,127.42782700225632,1097.376884753921,1.73880416120944,3045.293413052937,394.20278204453473
-1971.778086_3145.402956,83.528527066866,197.29440991648931,102.3359340364111,391.1513436206442,4.2812064747668295,617.6525784850053,1.6007464189622829,654.8742543190236,1954.2430444807553
-1971.778086_3245.402956,983.7072890499373,310.7633065423638,595.0353647284275,185.57251789307873,73.1557813014896,449.36472355215665,861.6718924688241,1789.248365344712,371.62768108951764
-1971.778086_3345.402956,949.4366439969352,79.82690947765927,19.34635217208375,311.63311858077117,366.7800616591297,502.53067407834016,39.69366264624473,736.677153050146,8.889254381641962
-1971.778086_3445.402956,1794.8990096876348,188.47400045888546,34.5211817850328,135.0511474981947,866.8972410969474,543.7401151746112,861.1296037400001,917.9726396959653,11.128886897577715
-1971.778086_3545.402956,1009.833143720721,334.66605655060096,268.9794332291581,503.4114201808443,550.0489970417904,537.4424552757316,169.32997712813085,661.5690324046791,58.53835828621185
-1971.778086_3645.402956,1010.1617369420113,388.0099900212967,375.7689587336923,688.2045906089934,1910.522354580023,58.37564440063613,193.17006997285483,846.1638886138448,374.4685431364794
-1971.778086_3745.402956,800.8670736908667,307.0476251607587,438.49894110182015,80.05637610598023,1394.510984447308,85.77138927344132,121.83270706936982,318.58215978898863,2.6061741651331882
-1971.778086_3845.402956,1752.1209252510678,339.68436163176517,758.575995137777,825.2556531765383,447.0878971508294,280.89989020002776,787.2069687044601,241.9649244729321,13.976820975221425
-1971.778086_3945.402956,1098.0359338795413,245.97647947663359,1086.9659523012801,6.42568870576341,1027.2078940369506,36.04724115084188,295.85750929085526,847.7876102215552,230.35153945330234
-1971.778086_4045.402956,423.61821519482857,235.5675215217929,2151.6198800152283,653.3250139854681,646.540583679699,216.40724505156743,475.48813352454306,114.68134223394802,125.78568643215635
-1971.778086_4145.402956,219.70252328917752,204.01057243130512,733.1817540176452,998.8170695367677,25.46054901821092,677.1041738032461,679.1135014718086,190.15472404991135,205.89235018794645
-1971.778086_4245.402956,253.87183388883614,221.82833474033282,1917.1405627205631,380.7732447286282,780.466225538889,8.037384173506695,100.57738053363592,1066.1621051081072,850.5801438801108
-2071.778086_2745.402956,176.9282786291749,148.19186840066678,593.9277308680557,355.23016177368,112.53632234568508,86.09636950365008,760.4965587885267,805.7033607131912,182.85139724618628
-2071.778086_2845.402956,708.6637000315384,315.1750554019827,746.3402280367483,797.2529417591497,163.46844613179607,668.7727487665121,1009.2977644609917,110.6563101930891,415.33485368954814
-2071.778086_2945.402956,925.3165442610382,281.789259050388,64.4515658117457,760.515214161913,11.176427637130805,388.1180298286183,353.10434522237375,467.32853122594923,94.16213050897642
-2071.778086_3045.402956,381.9312720932667,181.35165425610302,156.50208467057521,402.17585679394006,270.5573026883834,50.3454193081379,329.9620304424791,1053.5584947982645,364.5779323380963
